                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5156,                 3.3079,                 2.6402,                 1.4721,                0.00933,                0.83582,                0.25476,                0.13244,                0.00872,                0.78109,                0.22028,                0.09044,                 1.5719,                 4.2062,                 3.0126,                 1.5011,                0.00044,                0.00044,                0.00044
                      2,                 1.4678,                 2.4361,                 1.8307,                 1.3751,                0.20435,                0.10945,                0.08419,                0.02955,                0.19828,                0.06468,                0.04337,                0.01094,                 2.0766,                 10.581,                 3.4551,                 2.3695,              0.0008703,              0.0008703,              0.0008703
                      3,                 1.4086,                 2.3609,                 1.6688,                 1.3778,                0.25478,                 0.1592,                0.11248,                0.04232,                0.26717,                0.14428,                0.12238,                0.04176,                 1.9375,                  4.319,                  2.973,                 1.8312,              0.0012702,              0.0012702,              0.0012702
                      4,                 1.3984,                 2.2349,                 1.5565,                 1.3503,                0.33352,                0.35821,                0.24984,                0.11105,                0.26154,                0.30348,                0.16254,                0.05446,                 1.8583,                 6.2854,                 2.3048,                 1.8444,              0.0016398,              0.0016398,              0.0016398
                      5,                 1.4335,                   2.33,                 1.5086,                 1.3838,                0.39498,                0.30846,                0.21517,                 0.0923,                0.38861,                0.30348,                0.21287,                0.08196,                 2.0459,                 5.6789,                 2.4292,                 1.8596,               0.001736,               0.001736,               0.001736
                      6,                 1.4189,                 2.2934,                 1.4587,                 1.3706,                0.39327,                0.35151,                0.27127,                0.13011,                0.36924,                0.32836,                0.25917,                0.12168,                 2.0488,                 4.1512,                  2.411,                 2.0492,                0.00167,                0.00167,                0.00167
                      7,                 1.4015,                 2.2442,                 1.3476,                 1.3439,                0.49726,                0.45771,                0.43484,                0.21402,                0.53059,                0.44427,                0.46173,                0.22982,                 1.7441,                 3.0189,                 1.8396,                 1.6141,               0.001604,               0.001604,               0.001604
                      8,                 1.3386,                 2.1226,                 1.2729,                 1.3008,                0.56053,                0.50766,                 0.4816,                0.23776,                0.53694,                0.50746,                0.46137,                0.21969,                 1.6873,                 3.0078,                 1.8358,                 1.6233,               0.001538,               0.001538,               0.001538
                      9,                 1.3275,                 2.1617,                 1.2545,                 1.3103,                0.61122,                0.57099,                0.53699,                0.28353,                0.62886,                0.57214,                 0.5628,                0.28966,                 1.6895,                 2.9825,                 1.6469,                 1.6301,               0.001472,               0.001472,               0.001472
                     10,                 1.2767,                 2.0861,                 1.2052,                 1.2653,                0.49689,                0.41294,                 0.3967,                0.19239,                0.45173,                0.42289,                0.37177,                0.15797,                 1.8017,                 3.3329,                 1.9546,                 1.6636,               0.001406,               0.001406,               0.001406
